Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
42,7976,512,550,1.8412,1.03961,1.20176,0.98718,0.67065,0.65753,0.84309,0.65258,1.19832,1.07738,0.67534,0.56893,0.95932
43,5620,512,390,1.3424,1.05325,1.21732,0.998,0.6743,0.65682,0.85153,0.65401,1.20304,1.08112,0.67667,0.56893,0.963
44,11756,1024,679,2.348,1.0682,1.24135,1.01513,0.67908,0.66094,0.86309,0.65742,1.21744,1.09312,0.6812,0.56893,0.97218
45,7032,512,475,1.6411,1.07921,1.25441,1.02454,0.68236,0.66582,0.86969,0.66107,1.23047,1.1042,0.68458,0.57043,0.98209
46,6820,512,465,1.6647,1.09244,1.27111,1.03617,0.68573,0.6763,0.87748,0.66198,1.23432,1.1072,0.68568,0.57093,0.98408
47,5700,512,407,1.4446,1.10619,1.28845,1.04919,0.68907,0.67623,0.88784,0.66289,1.23824,1.11035,0.68679,0.57133,0.98632
48,7156,512,493,1.5991,1.11639,1.3012,1.05844,0.69165,0.67736,0.89526,0.66511,1.25129,1.12229,0.6898,0.57133,0.99498
49,16304,1024,978,3.2899,1.13326,1.32416,1.07527,0.69649,0.69025,0.90609,0.67444,1.29296,1.15654,0.69883,0.57519,1.02113
50,12328,1024,728,2.4173,1.14649,1.34216,1.08715,0.70225,0.69076,0.91618,0.67882,1.31193,1.17229,0.70366,0.57692,1.03111
51,3160,256,264,0.9145,1.15475,1.3515,1.09388,0.70467,0.69109,0.92059,0.67946,1.31545,1.17537,0.70449,0.57692,1.03413
52,7288,512,504,1.7641,1.16566,1.36507,1.10362,0.70818,0.69259,0.92809,0.68265,1.32882,1.18706,0.70861,0.57692,1.04344
53,10788,1024,641,2.1873,1.17719,1.37783,1.11183,0.7124,0.69713,0.93361,0.68815,1.34926,1.20365,0.71471,0.58141,1.05284
54,7340,512,502,1.7027,1.19261,1.39871,1.12631,0.71667,0.70188,0.94348,0.68943,1.35514,1.20846,0.71647,0.58141,1.05603
55,3092,256,254,0.9189,1.20188,1.40862,1.13331,0.71982,0.70327,0.94868,0.68971,1.35591,1.2091,0.71667,0.58291,1.05635
56,6572,512,444,1.5532,1.21672,1.42747,1.14664,0.72469,0.70718,0.9587,0.69151,1.36189,1.21361,0.71819,0.58291,1.0597
57,6828,512,460,1.622,1.23206,1.44954,1.16379,0.72938,0.71679,0.97081,0.69197,1.36412,1.21533,0.7186,0.58325,1.06115
58,14368,1024,832,2.8293,1.24975,1.47505,1.18098,0.73521,0.72235,0.98256,0.69763,1.38729,1.2345,0.72349,0.58375,1.08
59,12240,1024,734,2.4827,1.26085,1.48843,1.18985,0.73936,0.72789,0.98723,0.70316,1.41086,1.25385,0.72978,0.58375,1.09563
60,6976,512,486,1.6474,1.27278,1.50415,1.20105,0.7437,0.73257,0.9958,0.70519,1.42009,1.26167,0.73236,0.58679,1.10134
61,6524,512,453,1.5595,1.28583,1.51861,1.21053,0.74674,0.73763,1.00222,0.70731,1.42748,1.26785,0.73407,0.58679,1.10618
62,7272,512,510,1.7175,1.29889,1.53503,1.22249,0.75091,0.74256,1.00978,0.70984,1.43914,1.27762,0.73731,0.58679,1.11493
63,12116,1024,716,2.3089,1.31133,1.54936,1.23207,0.75542,0.74591,1.01592,0.71581,1.466,1.29992,0.7436,0.58896,1.13312
64,3308,256,276,0.9582,1.31826,1.55622,1.23673,0.75746,0.74836,1.02004,0.71698,1.47034,1.30356,0.74503,0.58896,1.13658
65,12232,1024,728,2.4131,1.33448,1.57892,1.25269,0.76272,0.7541,1.03014,0.72107,1.48762,1.31716,0.74891,0.5922,1.14713
66,7212,512,503,1.6449,1.34822,1.59833,1.26656,0.7672,0.76213,1.04018,0.72236,1.49559,1.32418,0.75064,0.5922,1.15255
67,3800,256,306,1.0191,1.35761,1.60752,1.27275,0.7691,0.76298,1.04515,0.72367,1.5003,1.32839,0.75185,0.5927,1.15568
68,12192,1024,728,2.3933,1.37175,1.62751,1.28729,0.77468,0.76632,1.057,0.72859,1.52253,1.34613,0.75767,0.5965,1.16909
69,14760,1024,873,2.8464,1.38987,1.65426,1.30651,0.78101,0.77458,1.07032,0.73339,1.54565,1.36526,0.76263,0.60138,1.18392
70,11464,1024,665,2.1525,1.40378,1.67103,1.31853,0.78616,0.78667,1.07807,0.73734,1.56569,1.3809,0.76774,0.60383,1.1945
71,6036,512,402,1.3457,1.41516,1.68691,1.3302,0.79053,0.79329,1.0857,0.73819,1.56907,1.38362,0.76896,0.60383,1.19656
72,6408,512,429,1.4045,1.42586,1.69814,1.33793,0.79343,0.79454,1.09144,0.74025,1.57875,1.39143,0.7712,0.60383,1.2038
73,7108,512,488,1.618,1.43916,1.71508,1.35075,0.79702,0.80084,1.10072,0.74241,1.58765,1.39851,0.77283,0.60383,1.20986
74,8000,512,558,1.8373,1.45042,1.72986,1.36089,0.80139,0.80001,1.10846,0.74601,1.60253,1.41197,0.77706,0.60717,1.22009
75,7248,512,506,1.7104,1.45905,1.74117,1.3688,0.80374,0.80327,1.11244,0.74966,1.61392,1.42151,0.78003,0.60717,1.22909
76,14420,1024,842,2.7332,1.47846,1.77041,1.38924,0.81054,0.80715,1.12742,0.75411,1.63857,1.44153,0.7865,0.60901,1.2431
77,15476,1024,900,2.895,1.49172,1.78904,1.40274,0.81516,0.81353,1.13557,0.76089,1.6712,1.46778,0.79427,0.61398,1.26201
78,7088,512,489,1.7038,1.50536,1.80696,1.4163,0.81905,0.81739,1.14609,0.76273,1.68009,1.47501,0.79613,0.61548,1.2672
79,14384,1024,831,2.75,1.51828,1.82633,1.42896,0.82512,0.82322,1.15626,0.76936,1.70589,1.49687,0.80279,0.62096,1.28431
80,5144,512,354,1.1987,1.53129,1.84327,1.44101,0.82824,0.82517,1.16493,0.76993,1.708,1.49853,0.80344,0.62096,1.28555
81,7200,512,499,1.6526,1.54255,1.85927,1.45217,0.83163,0.82775,1.17407,0.77241,1.71872,1.50709,0.80691,0.62096,1.29282
82,14464,1024,844,2.758,1.5613,1.88835,1.47223,0.83747,0.83987,1.18775,0.77617,1.73683,1.52169,0.81084,0.62587,1.30378
83,13672,1024,790,2.5498,1.57839,1.91121,1.48775,0.84242,0.84221,1.20011,0.77966,1.75765,1.53811,0.816,0.62775,1.31562
84,15372,1024,895,3.0254,1.60124,1.94177,1.50914,0.85058,0.84559,1.217,0.78555,1.7854,1.56029,0.82326,0.63118,1.33253
85,11544,1024,681,2.2438,1.61194,1.95577,1.51858,0.85349,0.8489,1.22407,0.79208,1.81191,1.58141,0.8306,0.63199,1.34917
86,11832,1024,694,2.2785,1.62722,1.97886,1.53523,0.85834,0.85557,1.23622,0.79519,1.82701,1.5938,0.83406,0.63199,1.35763
87,12208,1024,727,2.3584,1.64042,1.99807,1.54898,0.86187,0.86009,1.24673,0.8001,1.85181,1.61418,0.83983,0.63299,1.37646
88,5128,512,350,1.2033,1.65428,2.01598,1.56172,0.86584,0.86012,1.25707,0.80065,1.85359,1.61554,0.84008,0.63345,1.37737
89,3504,256,295,1.0274,1.66234,2.02371,1.56694,0.86742,0.86187,1.26075,0.80211,1.85863,1.6199,0.84119,0.63345,1.3814
90,12308,1024,747,2.4399,1.67567,2.04007,1.57819,0.87233,0.86697,1.26868,0.80758,1.88547,1.64225,0.8474,0.63395,1.39644
91,3224,256,271,0.9263,1.68564,2.05045,1.58564,0.87552,0.86813,1.27456,0.80806,1.88728,1.64379,0.84795,0.63395,1.39768
92,3588,256,300,0.9791,1.69546,2.06248,1.59484,0.87825,0.87178,1.28101,0.80894,1.89178,1.64804,0.84884,0.63395,1.40192
93,12220,1024,731,2.4136,1.71564,2.09271,1.61544,0.88516,0.87336,1.29713,0.812,1.90885,1.66143,0.85233,0.63727,1.41186
94,5480,512,389,1.309,1.72865,2.10737,1.62512,0.8891,0.87595,1.30316,0.81246,1.91325,1.66483,0.85333,0.63727,1.4152
95,16000,1024,935,3.0971,1.7473,2.13551,1.64403,0.89527,0.87751,1.31835,0.81922,1.94313,1.68881,0.86102,0.64429,1.43029
96,3520,256,299,0.9906,1.75724,2.14611,1.65118,0.89826,0.88195,1.32264,0.82045,1.948,1.69333,0.86228,0.64429,1.43474
97,7240,512,504,1.7028,1.7698,2.16377,1.66404,0.90246,0.88302,1.33282,0.82294,1.95758,1.70141,0.86443,0.64429,1.4421
98,15576,1024,917,3.0444,1.78669,2.1884,1.68089,0.9076,0.89231,1.34511,0.82998,1.98994,1.72801,0.8723,0.64635,1.4637
99,15488,1024,909,2.9607,1.80178,2.20981,1.69644,0.91449,0.89933,1.35721,0.83888,2.02921,1.75967,0.88224,0.64622,1.48785
100,12772,1024,760,2.5559,1.81915,2.23392,1.71282,0.92072,0.90155,1.36889,0.84416,2.0515,1.77728,0.88773,0.64868,1.50184
