Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
2416,3948,256,323,1.0042,28.3723,37.21105,26.49803,8.83056,14.88883,18.22922,8.25188,35.30185,29.65026,9.13929,6.35704,23.43517
2417,7516,512,529,1.6635,28.38123,37.22067,26.50483,8.8324,14.90614,18.2314,8.25441,35.31347,29.66036,9.14205,6.36174,23.44355
2418,23468,2048,1195,3.7405,28.40184,37.25265,26.52671,8.83889,14.92482,18.24537,8.26081,35.34347,29.68539,9.14955,6.37684,23.46047
2419,7108,512,489,1.5459,28.41295,37.26779,26.53774,8.84178,14.94727,18.25118,8.2629,35.35098,29.6918,9.15181,6.37924,23.46513
2420,11824,1024,693,2.0504,28.42436,37.28252,26.54834,8.84488,14.9656,18.25668,8.26742,35.37537,29.71231,9.15717,6.38107,23.4849
2421,7156,512,489,1.5725,28.43583,37.29633,26.55829,8.84712,14.98714,18.2621,8.26942,35.38329,29.71893,9.15937,6.38263,23.48902
2422,15844,1024,917,2.9464,28.45185,37.32073,26.57598,8.85212,15.00483,18.27256,8.27516,35.40489,29.73739,9.16484,6.3835,23.50378
2423,5748,512,408,1.2159,28.45796,37.32634,26.57981,8.85365,15.00933,18.27484,8.27743,35.4159,29.74769,9.16734,6.3835,23.51365
2424,5236,512,360,1.1312,28.46651,37.33835,26.58839,8.85512,15.02185,18.27926,8.27759,35.41759,29.74904,9.16744,6.3835,23.51472
2425,7060,512,481,1.6321,28.47337,37.34701,26.59513,8.85681,15.03903,18.28164,8.28042,35.42681,29.75674,9.16945,6.3869,23.51982
2426,7300,512,508,1.5905,28.48211,37.35876,26.6039,8.85912,15.04615,18.28645,8.28278,35.43809,29.76647,9.17291,6.38986,23.52607
2427,15768,1024,915,2.8847,28.49702,37.38376,26.62213,8.86497,15.06847,18.29648,8.28609,35.45495,29.78109,9.17823,6.39789,23.53595
2428,2864,256,239,0.7624,28.50286,37.38961,26.62659,8.86607,15.08042,18.29832,8.28614,35.45578,29.7818,9.17843,6.39839,23.53653
2429,5424,512,372,1.2177,28.51217,37.40119,26.63519,8.86878,15.08333,18.30356,8.28784,35.46198,29.78708,9.18023,6.39989,23.54033
2430,16268,1024,958,2.9318,28.51839,37.40907,26.64005,8.87156,15.08492,18.30505,8.29815,35.50604,29.82469,9.19124,6.40556,23.57337
2431,7460,512,515,1.5907,28.52556,37.41983,26.64773,8.87304,15.09233,18.3096,8.3007,35.51789,29.83553,9.19454,6.41156,23.58171
2432,6544,512,447,1.4034,28.53269,37.42853,26.65354,8.87643,15.09229,18.31435,8.30305,35.52758,29.84427,9.19704,6.42547,23.58622
2433,8700,512,587,1.765,28.53977,37.43795,26.66023,8.88027,15.09738,18.31797,8.30625,35.54306,29.85748,9.20083,6.42774,23.59754
2434,3488,256,291,0.9109,28.54672,37.4453,26.66561,8.88264,15.10296,18.32082,8.30719,35.54697,29.86107,9.20198,6.42774,23.60185
2435,3384,256,278,0.8725,28.5537,37.45232,26.67046,8.88329,15.10156,18.32472,8.30796,35.55038,29.86413,9.20285,6.42774,23.60512
2436,15388,1024,895,2.8334,28.56769,37.47179,26.68541,8.88784,15.12391,18.33259,8.31435,35.5763,29.88686,9.21016,6.44787,23.62005
2437,3196,256,267,0.8606,28.57285,37.47731,26.68941,8.88918,15.12812,18.33475,8.31436,35.57745,29.88777,9.21061,6.44787,23.62095
2438,7128,512,487,1.5439,28.5812,37.48803,26.69735,8.88996,15.14288,18.3385,8.31694,35.58657,29.89529,9.21326,6.45237,23.62609
2439,12160,1024,721,2.1495,28.58638,37.4962,26.70351,8.89171,15.14452,18.34227,8.32223,35.61198,29.91745,9.21972,6.46073,23.64455
2440,17648,1024,1004,3.117,28.59897,37.51311,26.71511,8.89354,15.16376,18.34825,8.3302,35.64691,29.94769,9.22849,6.47459,23.66846
2441,7140,512,492,1.5135,28.60857,37.52615,26.72492,8.89707,15.18442,18.35237,8.33176,35.65573,29.95504,9.23087,6.47509,23.67388
2442,11524,1024,680,2.0777,28.62062,37.54314,26.73756,8.90017,15.18556,18.36278,8.33502,35.6724,29.96967,9.23506,6.4764,23.68711
2443,12064,1024,724,2.2438,28.62892,37.55377,26.74475,8.90288,15.19054,18.36632,8.34114,35.69738,29.98865,9.23992,6.47801,23.70408
2444,10792,1024,646,2.0834,28.64432,37.57638,26.76039,8.9066,15.20117,18.37721,8.34392,35.70782,29.9969,9.2421,6.48001,23.71099
2445,16264,1024,952,2.9247,28.65451,37.58781,26.76774,8.90895,15.2159,18.38052,8.35159,35.7471,30.02967,9.25098,6.48138,23.73873
2446,8756,512,596,1.8441,28.66199,37.5959,26.77326,8.91112,15.21921,18.38467,8.35534,35.76306,30.04403,9.25481,6.48238,23.75025
2447,16372,1024,968,2.9571,28.6695,37.60758,26.78153,8.91481,15.22893,18.38902,8.36415,35.80502,30.07999,9.26528,6.49172,23.77645
2448,12404,1024,746,2.3769,28.68106,37.62691,26.7966,8.9197,15.24581,18.39731,8.36875,35.8268,30.09733,9.2713,6.49678,23.79103
2449,15592,1024,916,2.7968,28.68884,37.63695,26.80386,8.92072,15.26272,18.40074,8.37569,35.85845,30.12283,9.27819,6.49888,23.81282
2450,7748,512,515,1.6989,28.70008,37.6523,26.81492,8.92431,15.27815,18.40626,8.37736,35.86462,30.12802,9.28005,6.49938,23.81733
2451,11884,1024,707,2.1986,28.71166,37.66719,26.82496,8.92767,15.28368,18.4124,8.38054,35.88177,30.14241,9.28428,6.50038,23.83063
2452,5360,512,372,1.2069,28.72063,37.67805,26.8337,8.92871,15.29434,18.41789,8.38124,35.88474,30.14489,9.28517,6.50078,23.83231
2453,14660,1024,870,2.74,28.73562,37.69819,26.84875,8.93241,15.31568,18.42743,8.38566,35.90488,30.16166,9.28986,6.50875,23.84364
2454,7776,512,537,1.69,28.7481,37.71456,26.86121,8.9344,15.34386,18.43273,8.38724,35.91449,30.17066,9.29221,6.51108,23.84978
2455,5412,512,380,1.2372,28.75689,37.72658,26.87049,8.93765,15.34464,18.43932,8.38807,35.91824,30.17376,9.2929,6.51292,23.8524
2456,12296,1024,738,2.4177,28.77486,37.75375,26.88965,8.94161,15.37205,18.45005,8.38975,35.92601,30.18049,9.29456,6.51833,23.85748
2457,7388,512,511,1.6199,28.7836,37.76659,26.89913,8.94464,15.38116,18.45751,8.3918,35.93393,30.18719,9.29653,6.52478,23.8609
2458,7228,512,496,1.5762,28.79025,37.77531,26.90572,8.94747,15.39297,18.46088,8.39409,35.94314,30.19535,9.29885,6.53501,23.86479
2459,8088,512,541,1.6948,28.7987,37.78372,26.91158,8.9485,15.40138,18.4647,8.39698,35.95718,30.20787,9.30296,6.53714,23.87542
2460,12100,1024,713,2.2092,28.81011,37.80017,26.92311,8.95276,15.41087,18.47095,8.40076,35.97443,30.22226,9.30704,6.55119,23.88168
2461,7076,512,484,1.5775,28.82135,37.81436,26.93349,8.95472,15.43282,18.47569,8.40332,35.98373,30.22989,9.31007,6.55538,23.88691
2462,5304,512,365,1.163,28.82684,37.81907,26.93671,8.95507,15.43291,18.47831,8.40562,35.99045,30.23605,9.31179,6.55538,23.89282
2463,6876,512,467,1.4996,28.83571,37.83221,26.9467,8.95791,15.44167,18.48438,8.40773,35.99761,30.24251,9.31421,6.55588,23.89845
2464,13716,1024,790,2.4235,28.85319,37.85908,26.96636,8.96431,15.45941,18.49644,8.41005,36.01355,30.25626,9.31798,6.56242,23.90938
2465,12904,1024,773,2.4423,28.87002,37.88471,26.98616,8.9691,15.48767,18.50749,8.41212,36.02565,30.26662,9.31997,6.56309,23.91667
2466,7428,512,518,1.5976,28.87645,37.89209,26.99096,8.97025,15.49075,18.50996,8.41585,36.04214,30.28049,9.32451,6.56809,23.92827
2467,7280,512,503,1.6223,28.88582,37.90414,26.99947,8.97278,15.49837,18.51564,8.41759,36.04949,30.28669,9.32604,6.56848,23.93282
2468,13796,1024,800,2.5617,28.89624,37.92014,27.01042,8.97723,15.51486,18.52183,8.42162,36.06744,30.30169,9.33044,6.57271,23.94276
2469,7140,512,496,1.6019,28.90468,37.93042,27.01757,8.97966,15.52268,18.52644,8.42359,36.07583,30.30857,9.33194,6.57378,23.94738
2470,15180,1024,895,2.8359,28.92102,37.9551,27.03457,8.98415,15.5341,18.53766,8.4291,36.10049,30.32979,9.3383,6.58643,23.9605
2471,12632,1024,758,2.3744,28.93258,37.97205,27.04758,8.98857,15.55369,18.54348,8.43532,36.12318,30.3486,9.34363,6.59438,23.97367
2472,11680,1024,702,2.0924,28.94052,37.98372,27.05562,8.99278,15.56222,18.54937,8.43968,36.14531,30.36723,9.34809,6.59562,23.99088
2473,8064,512,558,1.7809,28.94963,37.99577,27.06446,8.99558,15.58423,18.55417,8.44285,36.15858,30.37874,9.35144,6.59813,24.00037
2474,15700,1024,923,2.9325,28.96083,38.01324,27.07585,8.99987,15.59329,18.56196,8.44924,36.18202,30.39979,9.35777,6.61501,24.01328
2475,13616,1024,772,2.6159,28.97427,38.03278,27.09055,9.00342,15.60711,18.57102,8.45339,36.20051,30.41565,9.36138,6.62565,24.02446
2476,6668,512,447,1.5559,28.98156,38.04101,27.09575,9.00614,15.61059,18.57531,8.45592,36.20999,30.42392,9.36366,6.63287,24.02936
2477,7504,512,527,1.9149,28.99484,38.06107,27.11189,9.0094,15.63257,18.58415,8.45627,36.2117,30.42562,9.36393,6.63337,24.03039
2478,12176,1024,718,2.5653,29.01039,38.08481,27.12893,9.0123,15.66059,18.5938,8.45817,36.22198,30.43491,9.36674,6.645,24.03506
2479,7184,512,495,1.7035,29.01825,38.09305,27.13515,9.01373,15.67315,18.59616,8.46173,36.23343,30.44484,9.36981,6.65096,24.04143
2480,7372,512,511,2.1234,29.02721,38.103,27.14196,9.01594,15.68116,18.60127,8.46477,36.24325,30.45295,9.37281,6.65555,24.04748
2481,6428,512,453,2.096,29.03286,38.10866,27.14551,9.01854,15.69476,18.60141,8.46889,36.25992,30.4673,9.37736,6.65691,24.06116
2482,6400,512,439,2.3775,29.04431,38.12413,27.15672,9.0219,15.71064,18.60788,8.46984,36.26405,30.47068,9.37848,6.65835,24.06354
2483,10768,1024,640,3.0284,29.05434,38.13851,27.16672,9.02448,15.72057,18.61535,8.47229,36.27586,30.47998,9.38141,6.66376,24.07023
2484,12600,1024,757,3.5353,29.06549,38.15414,27.17764,9.0279,15.7344,18.62176,8.47756,36.29946,30.49942,9.38661,6.6697,24.08523
2485,7272,512,507,2.3706,29.07287,38.16468,27.18522,9.02954,15.73861,18.6274,8.4804,36.30944,30.50823,9.38902,6.67475,24.09093
2486,7624,512,525,2.4724,29.08,38.17364,27.1913,9.03018,15.74772,18.63043,8.48275,36.32084,30.51818,9.39182,6.67475,24.09993
2487,16224,1024,963,4.8492,29.09401,38.19178,27.20402,9.03633,15.76015,18.63835,8.49068,36.35444,30.5466,9.39985,6.69431,24.11607
2488,7444,512,513,2.3905,29.09964,38.1979,27.20859,9.03983,15.76675,18.64041,8.49468,36.36908,30.55878,9.404,6.69766,24.12641
2489,12632,1024,759,3.584,29.11638,38.22147,27.22613,9.04418,15.79588,18.65078,8.49863,36.38392,30.57153,9.4077,6.71018,24.13364
2490,11788,1024,703,3.242,29.13007,38.23904,27.23773,9.04674,15.81195,18.65761,8.50152,36.39671,30.58215,9.41028,6.71955,24.13949
2491,7304,512,495,2.3763,29.14404,38.25597,27.25022,9.0494,15.83276,18.6647,8.50247,36.40015,30.58513,9.41108,6.72055,24.14192
2492,3588,256,301,1.3959,29.1505,38.26177,27.25431,9.0498,15.84583,18.66656,8.50276,36.40201,30.58689,9.41137,6.72055,24.14337
2493,8488,512,585,2.6405,29.15719,38.27083,27.26077,9.05255,15.86077,18.6683,8.50615,36.41734,30.6013,9.41595,6.72946,24.15478
2494,11544,1024,684,3.2091,29.17362,38.29383,27.27852,9.05738,15.89227,18.67755,8.50806,36.4257,30.60804,9.41792,6.73387,24.1598
2495,17956,1024,1039,4.6905,29.18606,38.31266,27.29202,9.06104,15.914,18.68232,8.51353,36.45249,30.63132,9.42461,6.7425,24.17638
2496,6336,512,425,2.0137,29.19674,38.32664,27.30196,9.0632,15.92342,18.68741,8.51453,36.45765,30.63562,9.42663,6.743,24.18037
2497,10408,1024,604,2.7864,29.20366,38.33677,27.30913,9.06476,15.92491,18.69233,8.51835,36.47524,30.65146,9.43017,6.7445,24.19431
2498,6872,512,464,2.1321,29.20867,38.34326,27.31381,9.06693,15.93215,18.69419,8.52091,36.48655,30.6608,9.43336,6.7445,24.20322
2499,16448,1024,980,4.5468,29.22489,38.36684,27.33145,9.07291,15.97044,18.70281,8.52685,36.51323,30.68593,9.43983,6.76588,24.21943
2500,7268,512,500,2.267,29.22913,38.37075,27.33389,9.07376,15.97797,18.70301,8.53051,36.52902,30.7003,9.44372,6.76788,24.23265
2501,15116,1024,894,4.0114,29.23915,38.38441,27.34306,9.07654,15.98328,18.70973,8.53713,36.5618,30.7269,9.45117,6.7738,24.25298
2502,16156,1024,946,4.2171,29.24586,38.39078,27.34662,9.07807,15.99734,18.71112,8.54563,36.60298,30.7614,9.46035,6.78194,24.27819
2503,12480,1024,762,3.5687,29.2606,38.41339,27.36346,9.08279,16.01349,18.7217,8.54902,36.61657,30.77317,9.46409,6.79096,24.28481
2504,15220,1024,904,4.1182,29.273,38.43052,27.37556,9.08767,16.02797,18.72836,8.55511,36.64606,30.79809,9.472,6.80752,24.29879
2505,6744,512,465,2.1792,29.28313,38.44297,27.38427,9.08926,16.04202,18.73247,8.5572,36.65386,30.80463,9.47443,6.81045,24.30299
2506,11384,1024,661,3.1779,29.30238,38.47035,27.40442,9.09304,16.0714,18.74504,8.55806,36.65791,30.80817,9.47512,6.81452,24.30442
2507,7616,512,522,2.4569,29.31208,38.48389,27.41504,9.09594,16.08601,18.752,8.55987,36.66704,30.81655,9.47742,6.81502,24.31232
2508,7428,512,512,2.4128,29.32437,38.49954,27.4264,9.09943,16.09359,18.76004,8.56112,36.67221,30.82087,9.47888,6.8187,24.3153
2509,12192,1024,728,3.4029,29.34058,38.52076,27.44371,9.1034,16.12123,18.76898,8.56367,36.68685,30.8333,9.48273,6.8215,24.32493
2510,7424,512,512,2.3575,29.3499,38.53282,27.45241,9.10504,16.13294,18.77405,8.56592,36.6963,30.84132,9.48453,6.8215,24.33348
2511,12504,1024,757,3.4282,29.36332,38.55088,27.46578,9.10815,16.15184,18.78153,8.56971,36.71542,30.85696,9.48846,6.83023,24.34381
2512,16416,1024,975,4.2377,29.37378,38.56702,27.47772,9.10995,16.16129,18.78917,8.57528,36.74855,30.88566,9.49488,6.84408,24.36678
2513,11916,1024,687,3.1252,29.38391,38.57896,27.48658,9.11289,16.1761,18.79367,8.57981,36.77115,30.90309,9.50153,6.84458,24.38345
2514,12460,1024,753,3.4995,29.39596,38.59633,27.49992,9.11629,16.20185,18.80065,8.58486,36.79092,30.91914,9.50626,6.84987,24.39546
2515,12460,1024,747,3.4107,29.40968,38.61527,27.51371,9.11965,16.22795,18.80809,8.58877,36.80909,30.93454,9.51082,6.85594,24.40771
2516,15744,1024,927,4.5323,29.4265,38.64153,27.53415,9.12407,16.24262,18.82205,8.59226,36.82893,30.9516,9.51579,6.86005,24.42186
2517,3604,256,294,1.3755,29.43364,38.64783,27.53881,9.12444,16.25689,18.82479,8.59276,36.83186,30.95412,9.51641,6.86005,24.42444
2518,7168,512,491,2.3712,29.44332,38.66241,27.55009,9.12699,16.26664,18.83244,8.59411,36.83657,30.95858,9.51764,6.86125,24.42795
2519,7372,512,508,2.3657,29.45142,38.67336,27.55863,9.12956,16.27185,18.83825,8.59716,36.84894,30.96901,9.52062,6.86216,24.43629
2520,10568,1024,625,2.8979,29.46135,38.68621,27.56679,9.13172,16.27825,18.84293,8.60113,36.86426,30.98232,9.52385,6.86728,24.44655
2521,7404,512,512,2.382,29.47291,38.70079,27.57747,9.13469,16.28967,18.84926,8.60419,36.8758,30.99277,9.52692,6.8833,24.45055
2522,14404,1024,833,3.8384,29.48282,38.7158,27.58733,9.13902,16.29831,18.85651,8.61099,36.9032,31.01534,9.53325,6.89478,24.46624
2523,16028,1024,949,4.2915,29.49345,38.73024,27.59768,9.14232,16.32113,18.86175,8.61755,36.9323,31.03968,9.54001,6.90818,24.48263
2524,7196,512,495,2.2635,29.49711,38.73443,27.60029,9.14348,16.32462,18.86331,8.62152,36.94615,31.05168,9.54399,6.91765,24.48944
2525,11292,1024,644,3.0718,29.50817,38.74997,27.61221,9.14652,16.34875,18.86836,8.62411,36.95602,31.06112,9.54736,6.92692,24.49509
2526,5780,512,410,1.8838,29.51619,38.75766,27.6177,9.14813,16.35674,18.87151,8.62576,36.96363,31.06754,9.54932,6.92951,24.49899
2527,5736,512,406,1.9183,29.52408,38.76694,27.62489,9.14925,16.3678,18.8763,8.62718,36.96954,31.0729,9.55062,6.93652,24.50193
2528,3432,256,282,1.3609,29.53265,38.77654,27.63277,9.15073,16.37157,18.88246,8.62733,36.96988,31.0732,9.55081,6.93652,24.50199
2529,6896,512,471,2.1459,29.5363,38.77955,27.63454,9.15138,16.37193,18.8839,8.63172,36.98364,31.08542,9.55397,6.94634,24.51014
2530,7232,512,503,2.3499,29.54569,38.79103,27.64258,9.15422,16.38473,18.88921,8.63416,36.99411,31.09428,9.55707,6.94977,24.51691
2531,10508,1024,616,2.887,29.55841,38.80983,27.65786,9.15819,16.39749,18.89993,8.63721,37.0055,31.10371,9.56035,6.95286,24.52374
2532,16208,1024,963,4.38,29.56781,38.81921,27.66379,9.16208,16.41031,18.9032,8.6452,37.04045,31.1346,9.56903,6.98871,24.5394
2533,11380,1024,658,3.0873,29.57934,38.83414,27.67433,9.16595,16.4198,18.90937,8.64985,37.05757,31.14876,9.57342,6.99717,24.54884
2534,14296,1024,819,3.8653,29.59129,38.85152,27.68683,9.16622,16.42711,18.91765,8.65472,37.07554,31.16379,9.57975,7.01084,24.55743
2535,6360,512,454,2.0477,29.59972,38.86138,27.69516,9.16749,16.44009,18.92114,8.65683,37.08639,31.17292,9.58222,7.01084,24.56616
2536,11964,1024,711,3.1895,29.60688,38.86904,27.70061,9.16912,16.44628,18.92366,8.66317,37.11256,31.19398,9.58674,7.0156,24.58301
2537,3908,256,317,1.4156,29.61368,38.87561,27.70523,9.17047,16.45053,18.92641,8.66433,37.11745,31.19851,9.58741,7.0156,24.58765
2538,8600,512,577,2.58,29.62168,38.88672,27.71412,9.17327,16.46337,18.93177,8.66675,37.12972,31.20972,9.59016,7.01885,24.59678
2539,7196,512,497,2.2545,29.62929,38.89333,27.71884,9.17408,16.46993,18.93419,8.67017,37.14418,31.22208,9.59363,7.02163,24.60671
2540,7108,512,489,2.3225,29.63915,38.90594,27.72809,9.17526,16.48568,18.93909,8.67192,37.15112,31.22803,9.59562,7.02612,24.60964
2541,12276,1024,733,3.42,29.6503,38.92512,27.74344,9.17905,16.50391,18.94822,8.67578,37.1669,31.24187,9.59852,7.03518,24.61923
2542,7572,512,523,2.3457,29.65679,38.93198,27.74853,9.18166,16.50562,18.95135,8.6801,37.18467,31.2568,9.6031,7.03657,24.63236
2543,7200,512,500,2.2627,29.66567,38.94255,27.75676,9.18351,16.5061,18.9573,8.683,37.19758,31.26775,9.6058,7.03683,24.64228
2544,3356,256,274,1.2913,29.67149,38.9485,27.76169,9.18395,16.5143,18.96006,8.68351,37.19992,31.26984,9.60653,7.03733,24.64407
2545,12092,1024,715,3.2855,29.68099,38.96431,27.7729,9.18696,16.52079,18.96896,8.68889,37.21962,31.28625,9.61228,7.04769,24.65472
2546,11796,1024,700,3.1674,29.6916,38.97654,27.78044,9.19121,16.52136,18.97299,8.6942,37.24122,31.30336,9.61658,7.04775,24.6698
2547,16008,1024,926,4.2544,29.70163,38.98967,27.7899,9.19404,16.5368,18.97685,8.70323,37.27969,31.33668,9.62666,7.06549,24.6915
2548,15172,1024,872,4.0769,29.7203,39.01641,27.80957,9.19888,16.56744,18.9869,8.70671,37.29644,31.35102,9.63051,7.0756,24.70115
2549,11028,1024,641,2.9459,29.73159,39.03131,27.82078,9.20206,16.58478,18.99303,8.70991,37.30961,31.36136,9.63343,7.0766,24.70951
2550,7840,512,540,2.4956,29.74161,39.04397,27.83071,9.2035,16.59563,18.9987,8.71199,37.32053,31.3706,9.63661,7.08147,24.71755
2551,12544,1024,743,3.462,29.75622,39.06674,27.84667,9.20818,16.6098,19.00897,8.71531,37.33516,31.38325,9.64034,7.08934,24.72507
2552,14372,1024,837,3.8723,29.76795,39.0829,27.85785,9.21176,16.6161,19.01593,8.72127,37.35977,31.40406,9.64568,7.10459,24.73761
2553,12432,1024,747,3.4238,29.78193,39.10082,27.87062,9.21391,16.64422,19.02194,8.72481,37.37718,31.41876,9.64925,7.10772,24.74866
2554,15808,1024,926,4.1784,29.79882,39.13053,27.89349,9.21976,16.66929,19.03628,8.72745,37.39294,31.43235,9.6528,7.11049,24.76024
2555,14680,1024,865,3.9231,29.80676,39.13949,27.89926,9.22324,16.67412,19.03949,8.73506,37.42639,31.46166,9.65967,7.11149,24.78611
2556,5456,512,381,1.8245,29.81728,39.15351,27.9094,9.22546,16.68181,19.04605,8.7349,37.42715,31.46227,9.65983,7.11149,24.78682
2557,14564,1024,857,3.9532,29.82703,39.16704,27.91858,9.23037,16.69455,19.05151,8.74394,37.46282,31.49265,9.66867,7.1204,24.8063
2558,7232,512,503,2.3772,29.83942,39.18319,27.93094,9.2336,16.71833,19.0585,8.74517,37.46738,31.49641,9.66986,7.12042,24.80922
2559,8244,512,582,2.6305,29.84746,39.19163,27.93624,9.2351,16.72636,19.06143,8.74948,37.48535,31.51302,9.67477,7.12042,24.82294
2560,7232,512,503,2.4374,29.86358,39.21227,27.95208,9.23777,16.75055,19.07128,8.75094,37.48978,31.51733,9.67556,7.12645,24.82534
2561,7432,512,513,2.2325,29.86807,39.21654,27.95532,9.23881,16.76231,19.0712,8.75392,37.50649,31.53179,9.67966,7.12679,24.83805
2562,8188,512,551,2.5425,29.87651,39.22792,27.9645,9.24157,16.76637,19.07876,8.75659,37.51897,31.54233,9.68278,7.12679,24.84808
2563,7096,512,486,2.3097,29.88777,39.24292,27.97591,9.24369,16.79135,19.08412,8.75874,37.52594,31.54856,9.68497,7.12729,24.85275
2564,7168,512,491,2.3161,29.89666,39.25243,27.98255,9.24634,16.79668,19.08683,8.76156,37.53574,31.55665,9.68787,7.13125,24.86003
2565,3000,256,250,1.1829,29.9028,39.25886,27.98709,9.2478,16.80848,19.08912,8.76174,37.53687,31.55763,9.68788,7.13125,24.86116
2566,15516,1024,914,4.4056,29.92379,39.29327,28.01359,9.25448,16.85217,19.10244,8.76614,37.55199,31.57016,9.69052,7.13861,24.86919
2567,12576,1024,753,3.4901,29.93801,39.31346,28.02767,9.25788,16.866,19.11164,8.76964,37.56761,31.58355,9.6941,7.14511,24.87895
2568,15364,1024,894,4.0147,29.94983,39.33207,28.0407,9.26244,16.87089,19.12045,8.77429,37.59289,31.60456,9.69971,7.15855,24.89372
2569,3556,256,304,1.4385,29.95745,39.34061,28.04673,9.26391,16.87569,19.12467,8.77538,37.59612,31.60773,9.70037,7.15952,24.89587
2570,11356,1024,654,2.9365,29.95987,39.34189,28.04688,9.26596,16.88039,19.12316,8.78255,37.62603,31.63389,9.70681,7.16684,24.9182
2571,7032,512,474,2.2142,29.96788,39.35357,28.05613,9.2674,16.88956,19.1296,8.7843,37.63461,31.64101,9.70919,7.16684,24.92372
2572,7540,512,524,2.4217,29.97823,39.3678,28.06571,9.27043,16.89643,19.13577,8.78699,37.64637,31.65143,9.7123,7.16834,24.93301
2573,11748,1024,678,3.1684,29.98904,39.3834,28.07657,9.27475,16.91308,19.14138,8.79123,37.66393,31.6661,9.71708,7.1729,24.94507
2574,14784,1024,855,4.0028,30.00531,39.4089,28.09541,9.28053,16.92979,19.1548,8.79598,37.68333,31.68198,9.72162,7.17562,24.9558
2575,3580,256,305,1.3966,30.01052,39.41414,28.09976,9.28101,16.93757,19.15643,8.79624,37.68637,31.68476,9.72296,7.17662,24.95771
2576,12316,1024,728,3.4858,30.02485,39.43483,28.11572,9.28439,16.96856,19.16431,8.80034,37.70025,31.69629,9.72626,7.18748,24.96484
2577,13500,1024,759,3.5373,30.04117,39.45894,28.13493,9.28751,17.00904,19.1737,8.80327,37.71333,31.70714,9.72951,7.20242,24.97027
2578,15784,1024,917,4.1966,30.05105,39.4735,28.14518,9.2905,17.02521,19.17761,8.80893,37.73984,31.72928,9.73676,7.212,24.98802
2579,3716,256,305,1.4183,30.05756,39.48002,28.14916,9.29242,17.02581,19.18086,8.81029,37.74459,31.73374,9.73743,7.212,24.99178
2580,4000,256,328,1.442,30.06382,39.48638,28.15371,9.29273,17.03212,19.18306,8.81105,37.75064,31.73943,9.73939,7.212,24.99784
2581,7252,512,507,2.2737,30.07223,39.49634,28.16134,9.29405,17.04943,19.1867,8.81325,37.76207,31.74998,9.7413,7.21352,25.008
2582,12144,1024,712,3.2823,30.08577,39.51604,28.17549,9.29876,17.06383,19.19588,8.81524,37.77284,31.75888,9.74323,7.21782,25.0156
2583,3916,256,319,1.4626,30.08913,39.52015,28.17804,9.29881,17.06555,19.19753,8.81691,37.77997,31.76574,9.74495,7.21833,25.02264
2584,12372,1024,732,3.4181,30.09775,39.53501,28.18924,9.30206,17.07697,19.20207,8.8204,37.79532,31.77832,9.74882,7.22049,25.03368
2585,12044,1024,717,3.3752,30.11192,39.55569,28.20375,9.30528,17.0889,19.21284,8.82253,37.80608,31.78762,9.7514,7.22975,25.03945
2586,3108,256,258,1.2033,30.11643,39.56141,28.20806,9.30594,17.09597,19.21514,8.82289,37.80842,31.78955,9.75181,7.22975,25.04133
2587,15456,1024,903,3.9385,30.122,39.56652,28.21136,9.30779,17.09716,19.21668,8.83039,37.84611,31.82093,9.75968,7.24037,25.06542
2588,7328,512,500,2.3476,30.13367,39.58034,28.22173,9.31076,17.11708,19.22247,8.83265,37.85516,31.82858,9.76085,7.24325,25.07183
2589,3536,256,278,1.3318,30.14048,39.58759,28.22727,9.31246,17.12286,19.22601,8.83346,37.85855,31.83136,9.7618,7.24325,25.07461
2590,7116,512,492,2.349,30.14866,39.59783,28.23458,9.31354,17.13353,19.23118,8.83579,37.86798,31.83959,9.76378,7.24832,25.07958
2591,3780,256,302,1.4139,30.15532,39.6057,28.24061,9.31526,17.13861,19.23565,8.83624,37.87036,31.84189,9.76456,7.25029,25.0815
2592,6788,512,476,2.2512,30.16572,39.61766,28.25031,9.31702,17.15899,19.24039,8.83741,37.87549,31.84591,9.7659,7.25242,25.08394
2593,11744,1024,681,3.0743,30.17485,39.63067,28.26008,9.32036,17.16021,19.24866,8.84131,37.89553,31.86261,9.77102,7.25604,25.09711
2594,3188,256,262,1.1828,30.17998,39.636,28.26369,9.32124,17.16311,19.25095,8.84264,37.90004,31.86652,9.77221,7.25604,25.10085
2595,13496,1024,813,3.6687,30.19209,39.65292,28.27626,9.32416,17.16982,19.25997,8.84902,37.92703,31.88926,9.77723,7.25838,25.12115
2596,8060,512,539,2.536,30.20254,39.66676,28.28599,9.32696,17.1878,19.26463,8.85094,37.93443,31.89593,9.77838,7.26127,25.12556
2597,12216,1024,725,3.2956,30.21325,39.68026,28.29514,9.32871,17.20053,19.27018,8.85562,37.95362,31.91279,9.78343,7.27441,25.13544
2598,3528,256,297,1.3402,30.21916,39.68683,28.29979,9.33028,17.20747,19.2728,8.85622,37.95771,31.91663,9.78481,7.2773,25.13863
2599,3444,256,285,1.3354,30.22391,39.69205,28.30381,9.33131,17.21237,19.27485,8.85715,37.96166,31.92025,9.78668,7.2804,25.1412
